id;nome;email;telefone;cpf;data_hora;valor;observacao
0;Carlos Thiago Pereira;oejictwmpub@loja.com.br;93 969147867;246.879.91-62;29/04/2024 13:25:08;R$ 57.319,03;URGENTE|auto|ok|LIMPAR|obs|auto|revisar
1;Juliana Lima;jx0ccd4.n243@ufpa.br;(93) 930607948;356.706.381-60;30/07/2023 17:05:15;R$ 101.512,22;LIMPAR|???|###|URGENTE|duplicado|LIMPAR|???|URGENTE
2;Fernanda Oliveira;jsv6d@empresa.com.br;(92)95312-9150;529.208.140-6;28/02/2021 23:41:36;R$ 206.960,66;***|URGENTE|falhou|anexo|duplicado|normalizar|atenção
3;Sabrina Mendes;lngpyyv0x6l@.com.br;96 47372-7974;063.564.670-18;28/01/2025 21:38:40;R$ 5.805,72;URGENTE|falhou|auto|duplicado|ok
4;Yasmin Otávio Monteiro;hzoazvfqqj@bol.com.br;(96)91659-1234;402.445.318-9;17/02/2024 15:02:05;R$ 152.063,62;revisar|anexo|???|id|normalizar|obs
5;Vinícius Silva;v.1tkmvj8oi@bol.com.br;94 996525827;927.433.73-55;16/03/2024 10:23:21;R$ 119.557,97;LIMPAR|???|anexo
6;Otávio Oliveira;6wiozxe@ufpa.br;96 61801-5897;14/10/2022 05:13:39;R$ 186.379,40;reenviado|ok|###|ok
7;Marcos Souza;lhwf8hfws@gov.br;(95) 94714-5610;606.958.775-25;01/11/2023 18:10:27;R$ 170.178,09;auto|atenção|manual
8;Zuleica Gabriel Santos;smfxn8mwz60t@bol.com.br;(97) 958445515;756.059.205-95;11/11/2022 13:12:20;R$ 186.289,93;atenção|###|normalizar|anexo|erro|erro|atenção|protocolo
9;Kleber Silva;ll1erzzu@bol.com.br;(96) 91462-9591;268.999.915-34;12/11/2021 12:28:50;R$ 135.383,45;erro|protocolo|protocolo|anexo|auto|ok
10;Juliana Araújo;v.4j98@empresa.com.br;96 16404-7566;061.789.923-25;21/08/2023 01:20:20;R$ 203.678,98;tmp|obs|json|obs|json|LIMPAR|duplicado|ticket
11;Rafael Mendes;msbib3da6d@gov.br;(97) 98237-1102;283.412.751-27;12/03/2023 00:22:46;R$ 228.215,93;LIMPAR|auto|***
12;Helena Rafael Monteiro;0lky.ghm@gmail.com;94 999171147;918.872.905-33;21/06/2021 10:08:38;R$ 167.240,38;URGENTE|csv|obs|LIMPAR|LIMPAR|auto
13;Daniela William Castro;553gvp0371@gmail.com;(97)94711-3875;395.150.524-23;01/06/2025 21:19:03;R$ 187.892,69;tmp|falhou|???|reenviado|ticket|atenção|###
14;Zuleica Lima;iqs.qgn@outlook.com;(96) 964545153;056.932.179-67;09/05/2023 14:17:50;R$ 45.361,40;URGENTE|erro|tmp|protocolo|???|json|anexo
15;Yasmin Costa;pbf0yndk7@ufpa.br;(94) 94052-7950;823.802.566-1;05/05/2023 21:15:41;R$ 183.333,87;###|auto|protocolo
16;Otávio Natália Araújo;cunlcm@UFPA.BR;(91) 957159509;319.894.369-19;11/12/2025 03:58:06;R$ 86.968,96;***|manual|###|csv|auto|???|falhou
